ID,Age,Region,Score_Before,Score_After,Date
PA004,43,Otago,6,9,06/07/2025
PA095,31,Wellington,3,4,07/03/2025
PA110,76,Canterbury,4,5,12/13/2025
PA025,71,Canterbury,7,8,05/22/2025
PA045,54,Wellington,4,7,08/03/2025
PA066,42,Wellington,6,9,09/07/2025
PA068,38,Waikato,6,5,12/14/2025
PA093,69,Waikato,5,5,09/09/2025
PA072,36,Wellington,3,2,08/21/2025
PA047,68,Canterbury,6,5,01/06/2025
PA128,70,Canterbury,6,9,06/23/2025
PA053,47,Canterbury,5,7,07/09/2025
PA136,37,Canterbury,4,4,04/03/2025
PA046,25,Auckland,3,6,09/20/2025
PA137,28,Wellington,5,5,09/16/2025
PA094,38,Canterbury,3,6,07/23/2025
PA140,20,Otago,6,7,03/17/2025
PA044,29,Auckland,7,10,08/14/2025
PA051,51,Waikato,3,5,12/26/2025
PA133,35,Waikato,5,4,02/11/2025
PA020,65,Auckland,4,5,03/24/2025
PA114,41,Canterbury,7,9,09/03/2025
PA097,55,Wellington,4,6,11/13/2025
PA043,78,Waikato,7,9,03/26/2025
PA022,69,Otago,6,6,08/26/2025
PA018,50,Waikato,5,4,10/01/2025
PA091,35,Otago,7,6,12/13/2025
PA138,48,Auckland,4,4,12/15/2025
PA115,71,Canterbury,6,9,09/16/2025
PA012,56,Otago,6,9,01/25/2025
PA052,27,Wellington,5,5,02/28/2025
PA113,60,Wellington,7,6,03/22/2025
PA063,77,Canterbury,3,4,11/01/2025
PA014,22,Auckland,4,3,03/06/2025
PA099,60,Waikato,4,3,08/20/2025
PA089,51,Wellington,5,5,05/15/2025
PA111,43,Wellington,3,3,03/01/2025
PA006,43,Wellington,5,4,02/07/2025
PA016,28,Auckland,5,4,02/09/2025
PA027,71,Auckland,4,7,11/16/2025
PA035,48,Canterbury,3,2,10/25/2025
PA002,30,Otago,5,7,01/15/2025
PA100,78,Auckland,5,5,12/01/2025
PA071,70,Otago,6,7,11/18/2025
PA082,33,Otago,4,3,01/22/2025
PA118,73,Wellington,5,7,06/14/2025
PA120,51,Waikato,6,8,01/18/2025
PA038,29,Auckland,5,7,09/08/2025
PA064,75,Waikato,7,8,03/20/2025
PA123,22,Canterbury,6,7,09/07/2025
PA042,49,Otago,7,7,01/22/2025
PA134,54,Waikato,6,9,08/07/2025
PA105,22,Waikato,5,4,07/20/2025
PA036,77,Otago,6,7,05/10/2025
PA054,31,Waikato,4,3,07/23/2025
PA017,52,Waikato,7,8,02/26/2025
PA029,35,Canterbury,3,3,10/08/2025
PA060,64,Canterbury,6,9,07/19/2025
PA058,40,Waikato,3,6,10/19/2025
PA021,25,Waikato,4,4,04/23/2025
PA131,31,Otago,4,4,08/03/2025
PA069,75,Wellington,5,4,02/03/2025
PA130,25,Canterbury,7,10,03/20/2025
PA073,35,Otago,5,4,05/18/2025
PA003,20,Auckland,4,4,04/18/2025
PA129,37,Wellington,6,9,02/01/2025
PA007,73,Wellington,3,2,12/23/2025
PA050,57,Otago,5,6,03/16/2025
PA121,52,Canterbury,7,8,04/03/2025
PA010,28,Wellington,4,4,11/12/2025
PA117,67,Auckland,6,9,08/18/2025
PA061,28,Waikato,6,5,04/17/2025
PA084,72,Otago,4,3,09/21/2025
PA122,43,Waikato,5,6,09/15/2025
PA004,43,Otago,6,9,06/07/2025
PA048,66,Otago,4,4,01/28/2025
PA062,30,Auckland,4,7,05/24/2025
PA088,66,Canterbury,7,8,02/14/2025
