respondent_id,age,region,wellbeing_before,wellbeing_after,date
ON054,40,Canterbury,7,9,2025-10-22
ON036,26,Otago,5,8,2025-01-14
ON089,thirty-five,Wellington,6,9,19/02/2025
ON006,45,Otago,7,9,19/07/2025
ON056,27,Otago,3,4,2025-07-13
ON137,65,Canterbury,7,10,2025-12-10
ON119,72,Auckland,7,9,22/01/2025
ON048,,Waikato,5,8,2025-02-17
ON057,39,Canterbury,5,4,2025-11-28
ON161,23,OTAGO,5,7,2025-12-18
ON017,56,Otago,5,4,26/03/2025
ON015,forty,WAIKATO,3,6,2025-11-12
ON124,70,Otago,7,7,20/09/2025
ON074,44,Waikato,5,5,2025-01-02
ON140,47,Otago,5,5,2025-05-22
ON001,25,Wellington,7,10,20/04/2025
ON097,57,Waikato,4,4,13/06/2025
ON096,,Otago,6,8,2025-07-13
ON065,48,Wellington,5,7,13/12/2025
ON031,,Wellington,6,5,04/02/2025
ON116,47,Otago,5,8,08/07/2025
ON141,55,Canterbury,5,5,2025-06-16
ON083,fifty-five,Auckland,3,6,26/07/2025
ON076,71,Waikato,4,4,06/06/2025
ON170,57,WAIKATO,4,7,07/04/2025
ON111,,Canterbury,3,6,17/10/2025
ON079,thirty-five,Canterbury,4,6,26/11/2025
ON033,61,AUCKLAND,5,8,10/07/2025
ON156,32,Waikato,5,8,09/01/2025
ON052,67,Auckland,6,7,11/03/2025
ON133,22,Auckland,3,6,05/01/2025
ON166,,Otago,4,3,2025-04-01
ON115,28,Canterbury,7,7,2025-02-04
ON030,35,Otago,3,4,2025-05-03
ON127,64,Auckland,5,7,2025-10-13
ON069,45,Otago,7,7,25/05/2025
ON067,51,Otago,5,7,2025-03-03
ON153,37,WAIKATO,5,7,2025-09-14
ON027,28,Wellington,7,10,23/10/2025
ON022,71,Auckland,6,6,2025-01-05
ON090,55,Auckland,7,7,26/02/2025
ON023,51,Waikato,4,4,2025-07-28
ON099,48,WAIKATO,5,5,27/01/2025
ON110,50,Wellington,3,6,2025-07-22
ON043,40,Otago,6,5,18/06/2025
ON142,56,Waikato,7,8,18/01/2025
ON168,33,Auckland,3,3,2025-12-03
ON050,49,Auckland,3,5,12/02/2025
ON106,64,Wellington,5,7,28/05/2025
ON125,36,Canterbury,5,5,2025-10-15
ON009,63,Otago,5,8,26/09/2025
ON058,,Wellington,3,5,23/09/2025
ON005,63,Wellington,5,7,18/10/2025
ON118,30,Otago,6,7,2025-06-08
ON109,53,Wellington,7,10,28/06/2025
ON123,66,Auckland,6,5,14/06/2025
ON150,73,Canterbury,6,5,04/06/2025
ON029,45,Waikato,3,2,2025-03-21
ON066,21,Canterbury,3,6,2025-05-16
ON081,27,Otago,4,5,02/10/2025
ON105,25,Auckland,4,5,09/07/2025
ON012,20,Wellington,5,7,23/12/2025
ON045,42,Otago,7,7,24/03/2025
ON042,47,Otago,6,9,05/07/2025
ON003,70,Canterbury,5,5,26/06/2025
ON177,32,Canterbury,3,6,2025-07-02
ON040,51,Wellington,3,2,2025-01-08
ON162,,Auckland,3,4,2025-08-02
ON146,58,Wellington,3,4,22/07/2025
ON091,18,WAIKATO,4,3,09/09/2025
ON147,57,Waikato,3,4,22/08/2025
ON038,52,Otago,6,7,09/01/2025
ON093,62,CANTERBURY,7,6,21/04/2025
ON013,29,Canterbury,6,5,2025-06-04
ON154,42,Wellington,4,7,16/12/2025
ON155,63,Waikato,5,8,2025-05-06
ON046,34,Wellington,3,6,10/05/2025
ON016,60,Otago,7,9,08/09/2025
ON092,28,Auckland,4,7,02/11/2025
ON061,62,Waikato,7,6,2025-04-15
ON139,32,Waikato,5,6,2025-02-27
ON175,32,CANTERBURY,6,6,2025-01-22
ON101,33,Auckland,6,6,2025-10-22
ON047,42,Waikato,3,6,2025-06-26
ON100,62,Canterbury,6,9,2025-02-24
ON021,,Otago,4,3,2025-11-06
ON018,42,Waikato,7,7,2025-07-03
ON095,22,Otago,4,7,2025-04-16
ON157,58,Auckland,5,7,17/07/2025
ON037,42,Canterbury,4,6,2025-03-18
ON178,twenty,Otago,7,9,2025-08-18
ON007,69,Auckland,7,7,2025-12-17
ON039,38,Waikato,7,6,28/11/2025
ON094,23,Waikato,3,4,02/11/2025
ON035,75,Auckland,7,8,2025-02-06
ON020,49,Canterbury,7,10,07/09/2025
ON121,58,Auckland,5,8,2025-06-06
ON044,65,Auckland,3,6,2025-10-10
ON102,52,Auckland,3,4,2025-08-19
ON098,twenty,Waikato,6,5,2025-03-19
ON138,30,Canterbury,6,5,2025-01-12
ON084,52,AUCKLAND,4,5,06/02/2025
ON019,59,Wellington,3,2,15/05/2025
ON167,42,Waikato,6,5,2025-06-12
ON073,57,Canterbury,7,6,03/09/2025
ON122,56,Otago,5,6,2025-02-23
ON086,48,Waikato,5,7,28/09/2025
ON158,44,Auckland,3,4,08/03/2025
ON075,72,Wellington,5,4,14/02/2025
ON164,46,Auckland,4,3,2025-08-15
ON026,32,Auckland,3,5,2025-11-06
ON131,forty,Auckland,4,4,18/10/2025
ON180,30,CANTERBURY,7,7,2025-01-21
ON132,thirty-five,Otago,7,10,2025-07-08
ON024,29,Wellington,4,5,10/07/2025
ON148,21,Wellington,5,5,17/11/2025
ON087,49,Waikato,7,7,16/10/2025
ON051,25,OTAGO,7,7,19/08/2025
ON055,39,Auckland,5,6,18/03/2025
ON077,47,WELLINGTON,4,5,20/09/2025
ON032,47,Otago,7,6,20/04/2025
ON053,39,Wellington,6,8,08/08/2025
ON080,41,Canterbury,3,5,2025-06-16
ON041,75,Canterbury,5,5,12/04/2025
