transaction_id,customer_id,order_date,amount
T01432,C0445,2025-04-23,251.01
T00001,C0001,2025-09-11,376.49
T00965,C0298,2025-03-18,16.09
T00279,C0082,2025-09-06,241.47
T00329,C0099,2025-11-24,270.66
T00122,C0036,2025-04-26,326.28
T00959,C0297,2025-04-26,254.33
T00390,C0119,2025-05-19,174.59
T00153,C0048,2025-06-04,293.57
T01876,C0567,2025-02-07,355.14
T00015,C0003,2025-07-05,258.58
T01700,C0516,2025-03-03,280.35
T01081,C0334,2025-04-07,165.85
T00982,C0304,2025-03-19,65.25
T00299,C0090,2025-01-05,285.89
T01958,C0596,2025-11-02,289.91
T01197,C0370,2025-11-07,201.66
T00887,C0269,2025-05-08,248.73
T01930,C0584,2025-05-11,262.67
T00481,C0149,2025-01-05,275.36
T01973,C0599,2025-07-13,217.07
T01043,C0321,2025-01-01,356.63
T01046,C0323,2025-06-27,380.94
T01311,C0409,2025-02-13,88.05
T00883,C0268,2025-08-15,126.71
T01019,C0316,2025-02-09,46.69
T00071,C0019,2025-09-26,352.25
T01738,C0527,2025-09-04,129.41
T00243,C0073,2025-01-04,211.99
T00951,C0296,2025-10-26,120.83
T00602,C0180,2025-01-24,182.18
T01881,C0570,2025-12-25,218.39
T01201,C0371,2025-07-27,156.94
T01262,C0391,2025-11-22,206.94
T00768,C0231,2025-08-28,382.12
T01141,C0354,2025-01-03,337.2
T00923,C0286,2025-04-05,235.95
T00283,C0083,2025-02-22,384.31
T00689,C0212,2025-06-26,190.73
T01948,C0592,2025-12-26,102.52
T01726,C0524,2025-12-11,104.42
T01712,C0520,2025-12-16,49.99
T01847,C0557,2025-01-10,279.42
T00747,C0227,2025-03-13,103.78
T00512,C0156,2025-08-16,299.48
T01652,C0503,2025-08-02,357.96
T01873,C0566,2025-07-25,43.97
T01682,C0510,2025-02-12,310.89
T00670,C0208,2025-10-12,204.84
T01050,C0325,2025-10-18,129.87
T00662,C0204,2025-05-01,81.85
T01869,C0566,2025-12-16,124.11
T00413,C0126,2025-04-17,135.35
T00802,C0241,2025-01-12,291.35
T00789,C0238,2025-09-07,335.44
T01882,C0571,2025-08-01,125.29
T01217,C0376,2025-02-17,278.6
T01128,C0350,2025-11-16,292.75
T01401,C0437,2025-12-25,325.69
T00095,C0027,2025-02-19,179.76
T00892,C0272,2025-12-11,88.9
T00963,C0297,2025-03-19,284.76
T01102,C0342,2025-05-08,349.11
T01597,C0490,2025-08-08,215.36
T01200,C0371,2025-10-21,201.33
T00369,C0108,2025-09-07,289.86
T01235,C0381,2025-02-19,350.21
T00175,C0053,2025-01-01,372.69
T01706,C0519,2025-03-13,279.35
T01076,C0332,2025-08-27,207.79
T01351,C0424,2025-06-06,388.51
T00529,C0163,2025-07-01,78.9
T00999,C0310,2025-06-17,74.98
T00193,C0056,2025-04-20,263.76
T01602,C0490,2025-03-10,384.52
T01944,C0590,2025-11-03,257.18
T01333,C0417,2025-09-28,91.28
T01068,C0331,2025-02-04,169.95
T00629,C0194,2025-09-25,213.42
T00036,C0008,2025-09-19,119.4
T01725,C0523,2025-08-16,278.55
T01236,C0382,2025-11-09,365.03
T01934,C0587,2025-09-15,365.62
T01920,C0580,2025-07-22,387.14
T00905,C0278,2025-09-04,378.24
T00677,C0211,2025-06-18,232.95
T00019,C0005,2025-11-24,342.32
T00996,C0308,2025-04-02,80.03
T00411,C0126,2025-11-03,36.7
T00157,C0050,2025-05-22,217.31
T01879,C0569,2025-03-20,215.91
T00260,C0079,2025-11-12,218.02
T00698,C0213,2025-01-17,189.73
T00816,C0244,2025-09-28,385.5
T00902,C0276,2025-08-05,280.48
T01551,C0477,2025-10-02,347.5
T01316,C0410,2025-06-26,155.65
T01163,C0357,2025-02-17,77.56
T01790,C0542,2025-11-08,149.24
T00482,C0150,2025-06-10,331.77
T01243,C0384,2025-02-08,114.48
T01282,C0402,2025-11-13,341.51
T01040,C0320,2025-06-07,352.75
T00154,C0049,2025-12-27,21.28
T01662,C0504,2025-09-28,280.19
T00544,C0165,2025-10-06,274.74
T01483,C0460,2025-01-08,124.47
T00619,C0187,2025-10-13,360.31
T00791,C0238,2025-09-01,241.46
T00362,C0108,2025-12-19,201.85
T01075,C0332,2025-07-26,367.58
T00358,C0108,2025-01-13,163.81
T00185,C0056,2025-09-26,370.38
T00671,C0208,2025-12-02,25.72
T00526,C0163,2025-05-02,320.39
T01242,C0384,2025-03-05,129.72
T00539,C0164,2025-12-05,196.87
T01815,C0547,2025-11-01,172.29
T01744,C0529,2025-12-23,136.26
T00984,C0305,2025-09-21,272.47
T01956,C0595,2025-02-26,226.55
T00314,C0095,2025-02-10,193.59
T01414,C0439,2025-12-28,347.92
T00833,C0250,2025-10-03,300.63
T01084,C0336,2025-07-04,302.65
T00418,C0126,2025-02-14,287.29
T01730,C0526,2025-06-19,331.53
T00184,C0056,2025-12-01,51.36
T01399,C0437,2025-10-28,335.8
T01523,C0469,2025-06-19,126.51
T00401,C0123,2025-04-01,320.54
T01939,C0589,2025-11-11,382.34
T00651,C0200,2025-07-01,260.65
T01543,C0474,2025-11-11,342.74
T01064,C0328,2025-05-05,174.73
T01059,C0328,2025-07-03,310.28
T00316,C0096,2025-10-28,40.05
T00068,C0018,2025-09-18,171.91
T01143,C0355,2025-11-15,77.52
T00455,C0142,2025-11-17,243.06
T00606,C0180,2025-08-07,55.67
T01542,C0474,2025-06-21,75.76
T00516,C0159,2025-05-23,34.13
T00089,C0027,2025-12-01,249.66
T00219,C0067,2025-04-15,321.95
T01442,C0447,2025-12-16,71.85
T00603,C0180,2025-10-20,380.92
T01895,C0574,2025-08-16,216.92
T01173,C0359,2025-01-15,214.69
T01387,C0433,2025-02-26,112.08
T00889,C0270,2025-01-16,33.65
T01942,C0590,2025-02-07,207.13
T00876,C0265,2025-06-06,64.53
T01552,C0477,2025-08-18,38.94
T01429,C0444,2025-02-08,171.43
T00583,C0175,2025-07-14,298.51
T00787,C0237,2025-11-17,300.87
T00499,C0155,2025-12-16,287.76
T00340,C0100,2025-11-11,200.4
T01967,C0598,2025-06-08,30.34
T00788,C0238,2025-10-03,193.73
T01451,C0448,2025-01-19,326.46
T01641,C0499,2025-12-19,298.84
T01792,C0543,2025-10-23,382.41
T01636,C0496,2025-11-22,396.27
T01446,C0447,2025-09-28,234.45
T00397,C0121,2025-06-23,96.74
T01126,C0350,2025-07-03,36.47
T01507,C0467,2025-01-13,40.21
T00886,C0268,2025-08-23,134.7
T01131,C0350,2025-09-08,100.96
T01917,C0580,2025-11-11,154.99
T00238,C0070,2025-09-21,383.6
T01661,C0504,2025-05-16,129.46
T01759,C0531,2025-06-23,293.28
T01858,C0562,2025-07-27,19.72
T00014,C0003,2025-10-27,261.15
T00794,C0238,2025-05-28,273.33
T00630,C0194,2025-01-06,391.38
T00416,C0126,2025-03-22,52.17
T01135,C0352,2025-06-24,253.58
T00766,C0230,2025-09-06,274.79
T01837,C0555,2025-05-26,57.69
T01835,C0554,2025-05-24,189.93
T01345,C0421,2025-04-07,260.01
T00437,C0135,2025-09-16,113.48
T00678,C0211,2025-10-25,171.61
T01827,C0551,2025-03-22,135.46
T00368,C0108,2025-04-23,353.7
T01980,C0600,2025-11-24,235.89
T01614,C0493,2025-04-11,365.15
T00337,C0100,2025-12-17,205.25
T01781,C0540,2025-06-07,372.98
T01167,C0358,2025-03-06,167.17
T01577,C0483,2025-05-12,254.63
T00037,C0008,2025-02-23,262.56
T01082,C0335,2025-07-27,172.7
T00834,C0250,2025-05-04,184.61
T01843,C0555,2025-09-18,74.63
T00899,C0274,2025-10-28,303.88
T01012,C0313,2025-02-07,129.9
T01776,C0540,2025-11-14,34.65
T01165,C0358,2025-02-05,138.48
T00428,C0131,2025-01-08,349.87
T00661,C0203,2025-10-15,279.77
T00127,C0039,2025-09-19,349.65
T00276,C0080,2025-09-21,153.39
T00200,C0060,2025-09-01,47.76
T00864,C0260,2025-08-09,371.39
T00256,C0079,2025-02-24,293.79
T00926,C0286,2025-10-05,319.14
T00731,C0224,2025-09-14,49.96
T01695,C0515,2025-10-09,124.05
T01559,C0479,2025-10-10,162.95
T00216,C0064,2025-09-19,91.0
T01408,C0437,2025-04-23,388.22
T00947,C0296,2025-03-25,23.08
T01448,C0448,2025-04-11,387.23
T01227,C0379,2025-07-23,122.77
T01355,C0425,2025-01-08,354.94
T00924,C0286,2025-02-20,274.75
T01310,C0409,2025-09-12,332.95
T00653,C0200,2025-04-22,140.46
T00594,C0176,2025-03-08,336.74
T01747,C0530,2025-09-04,242.25
T01452,C0448,2025-08-12,55.6
T00625,C0191,2025-09-26,283.19
T01705,C0518,2025-11-28,316.15
T01364,C0426,2025-06-20,153.07
T01066,C0329,2025-12-07,238.79
T01590,C0486,2025-09-08,119.9
T00581,C0175,2025-10-26,124.67
T01909,C0579,2025-04-03,80.72
T01226,C0378,2025-11-16,34.22
T01018,C0316,2025-03-19,138.39
T00166,C0051,2025-02-23,103.04
T01117,C0347,2025-05-06,178.64
T00345,C0102,2025-04-27,53.31
T01860,C0563,2025-07-04,353.24
T00007,C0001,2025-03-04,321.26
T00530,C0163,2025-01-04,54.28
T01026,C0317,2025-09-11,150.33
T00033,C0007,2025-12-12,34.65
T01386,C0433,2025-12-25,56.86
T01906,C0577,2025-11-25,194.27
T00421,C0128,2025-04-26,312.24
T00304,C0093,2025-02-10,386.25
T00800,C0239,2025-02-26,392.91
T01859,C0562,2025-07-10,293.95
T01687,C0511,2025-05-04,233.31
T00684,C0211,2025-06-11,239.72
T00584,C0175,2025-07-07,208.9
T01493,C0464,2025-02-01,61.83
T01494,C0465,2025-05-05,179.52
T01849,C0557,2025-02-01,110.85
T01760,C0531,2025-06-18,322.82
T00649,C0200,2025-08-10,166.07
T01646,C0502,2025-06-16,240.04
T00838,C0251,2025-04-10,170.03
T01353,C0424,2025-12-11,183.8
T00601,C0179,2025-10-27,285.39
T01692,C0513,2025-05-13,285.96
T00844,C0253,2025-03-12,247.65
T00371,C0110,2025-05-28,223.53
T00595,C0176,2025-01-27,320.79
T01186,C0366,2025-03-27,251.84
T01090,C0336,2025-06-25,330.71
T01441,C0447,2025-07-16,258.66
T00884,C0268,2025-06-06,271.43
T00865,C0260,2025-07-11,201.85
T01671,C0506,2025-09-16,189.67
T01842,C0555,2025-02-14,15.37
T00752,C0229,2025-10-21,197.9
T01436,C0447,2025-05-14,27.12
T00536,C0163,2025-02-12,288.45
T01887,C0571,2025-12-01,222.7
T01486,C0462,2025-12-13,89.34
T00702,C0214,2025-01-22,228.29
T01328,C0415,2025-06-19,324.14
T00322,C0097,2025-12-02,42.39
T00785,C0236,2025-09-17,139.94
T00213,C0063,2025-08-08,388.81
T01643,C0501,2025-02-23,351.71
T00918,C0285,2025-06-28,165.55
T01464,C0449,2025-04-13,278.94
T00096,C0027,2025-08-16,118.89
T00572,C0171,2025-03-20,387.58
T01623,C0494,2025-08-20,212.31
T00040,C0010,2025-05-23,54.76
T01176,C0360,2025-10-24,290.82
T00050,C0011,2025-12-27,148.28
T00596,C0176,2025-03-28,232.53
T00440,C0136,2025-01-07,123.44
T01298,C0404,2025-11-08,53.07
T01107,C0344,2025-01-26,23.15
T00292,C0086,2025-08-24,238.18
T00638,C0196,2025-07-27,371.67
T00946,C0295,2025-10-14,389.78
T01254,C0389,2025-11-13,133.51
T01836,C0554,2025-09-04,38.87
T01517,C0468,2025-10-10,399.73
T01976,C0599,2025-07-28,119.68
T00134,C0044,2025-03-25,354.9
T01748,C0530,2025-05-27,251.07
T00402,C0123,2025-10-04,217.26
T00856,C0258,2025-06-02,339.91
T00212,C0062,2025-11-04,233.84
T00932,C0291,2025-08-26,67.7
T00617,C0186,2025-02-01,37.36
T00912,C0282,2025-04-23,159.17
T01665,C0506,2025-10-10,15.66
T00786,C0236,2025-01-01,260.3
T01088,C0336,2025-09-16,283.2
T00774,C0233,2025-01-10,201.67
T01908,C0578,2025-04-21,78.08
T00749,C0228,2025-06-15,193.38
T00746,C0227,2025-03-19,384.12
T01699,C0515,2025-11-20,288.37
T01409,C0437,2025-02-21,39.65
T00124,C0037,2025-06-08,88.96
T01618,C0493,2025-03-08,199.71
T01953,C0594,2025-10-12,61.88
T00985,C0306,2025-12-02,114.65
T01751,C0530,2025-11-28,78.33
T01491,C0463,2025-04-03,277.02
T00504,C0155,2025-09-02,91.09
T00148,C0047,2025-04-20,326.18
T00542,C0165,2025-10-09,49.73
T01555,C0479,2025-06-28,19.06
T00477,C0149,2025-10-19,186.37
T00204,C0061,2025-03-27,185.07
T01404,C0437,2025-09-03,119.13
T00798,C0239,2025-11-27,305.55
T01251,C0388,2025-12-17,362.4
T00117,C0035,2025-01-02,107.92
T01426,C0442,2025-10-01,144.92
T00763,C0230,2025-12-10,271.74
T01663,C0505,2025-06-14,259.4
T01716,C0522,2025-10-11,211.08
T00217,C0065,2025-01-21,155.57
T00125,C0037,2025-06-08,205.04
T01198,C0370,2025-08-24,374.73
T01055,C0326,2025-01-21,357.36
T01044,C0321,2025-09-11,373.51
T01042,C0321,2025-02-11,143.73
T01703,C0517,2025-06-13,342.98
T01207,C0375,2025-10-27,293.48
T00534,C0163,2025-01-03,207.6
T00467,C0145,2025-08-28,105.64
T00578,C0174,2025-04-27,94.54
T01650,C0503,2025-07-21,206.52
T01407,C0437,2025-11-06,37.62
T00462,C0144,2025-07-18,259.56
T00234,C0069,2025-04-04,61.72
T01045,C0322,2025-08-04,357.34
T01519,C0469,2025-01-03,341.92
T01752,C0530,2025-09-14,19.06
T01810,C0546,2025-08-26,347.62
T01439,C0447,2025-11-06,238.83
T00792,C0238,2025-05-08,227.48
T01440,C0447,2025-03-24,238.47
T01685,C0511,2025-08-22,75.66
T01218,C0376,2025-04-09,389.98
T00328,C0099,2025-02-28,252.61
T01397,C0436,2025-12-15,337.64
T00882,C0268,2025-06-14,325.46
T00429,C0132,2025-01-09,315.76
T01094,C0339,2025-01-22,333.84
T00848,C0253,2025-03-13,180.07
T00244,C0074,2025-07-07,265.95
T00132,C0043,2025-01-21,306.8
T00382,C0115,2025-10-18,228.85
T01745,C0529,2025-11-18,38.26
T01688,C0512,2025-05-15,89.71
T00158,C0050,2025-02-07,268.76
T00315,C0096,2025-04-02,150.23
T01166,C0358,2025-03-23,99.85
T01615,C0493,2025-11-24,210.16
T01531,C0473,2025-08-09,30.26
T01413,C0439,2025-11-22,258.2
T00550,C0166,2025-01-26,290.24
T00487,C0152,2025-01-21,85.03
T01794,C0543,2025-01-22,313.15
T01515,C0468,2025-10-02,52.12
T01010,C0313,2025-09-16,78.74
T00944,C0294,2025-11-15,248.63
T01677,C0507,2025-01-10,386.35
T01417,C0440,2025-06-07,165.78
T00275,C0080,2025-12-12,130.01
T01038,C0320,2025-04-20,293.48
T01544,C0474,2025-04-19,206.2
T00300,C0090,2025-10-15,282.43
T01329,C0415,2025-12-07,105.64
T00030,C0007,2025-05-17,347.77
T01718,C0522,2025-06-10,165.11
T01785,C0541,2025-09-18,264.28
T01230,C0380,2025-04-28,262.57
T00930,C0290,2025-09-14,336.09
T00770,C0231,2025-08-27,397.29
T00126,C0038,2025-08-06,388.48
T01584,C0484,2025-07-21,364.77
T01183,C0364,2025-03-25,60.39
T00831,C0250,2025-06-24,191.59
T01572,C0483,2025-12-28,171.64
T00097,C0028,2025-08-16,146.08
T01252,C0388,2025-02-20,174.73
T00379,C0113,2025-09-28,50.83
T01069,C0331,2025-12-24,113.22
T00655,C0200,2025-06-12,320.05
T01678,C0508,2025-05-16,199.01
T01653,C0503,2025-01-24,82.52
T00031,C0007,2025-10-27,197.98
T00407,C0125,2025-11-04,180.55
T01428,C0443,2025-03-02,230.81
T00195,C0057,2025-08-20,47.71
T00366,C0108,2025-05-26,40.87
T00724,C0222,2025-03-11,102.67
T01178,C0361,2025-05-22,32.46
T01872,C0566,2025-08-03,219.0
T00156,C0050,2025-06-22,215.85
T01548,C0477,2025-04-04,377.95
T01326,C0414,2025-01-02,76.08
T00847,C0253,2025-10-27,96.56
T01372,C0426,2025-04-07,320.77
T01089,C0336,2025-03-03,335.4
T00640,C0196,2025-02-16,186.77
T01359,C0425,2025-02-16,354.52
T01158,C0356,2025-06-06,65.58
T00666,C0207,2025-03-07,258.02
T00772,C0232,2025-06-19,258.54
T01798,C0543,2025-10-11,204.42
T01891,C0573,2025-06-27,154.59
T00612,C0183,2025-06-05,56.41
T00180,C0055,2025-09-27,205.37
T00090,C0027,2025-05-14,49.72
T00915,C0284,2025-10-24,395.22
