sale_id,date,store,region,category,units,revenue
S76,2025-01-10,Queen St,Auckland,Beauty,1,145.7
S77,2025-09-04,Queen St,Auckland,Apparel,5,83.46
S78,2025-12-28,Hamilton Central,Waikato,Beauty,8,897.81
S79,2025-03-03,Riccarton,Canterbury,Apparel,6,95.19
S80,2025-09-11,George St,Otago,Electronics,7,1678.66
S81,2025-12-19,Riccarton,Canterbury,Home,10,1590.76
S82,2025-01-15,Hamilton Central,Waikato,Apparel,1,228.72
S83,2025-08-10,Riccarton,Canterbury,Electronics,8,1112.31
S84,2025-01-08,George St,Otago,Home,11,2908.99
S85,2025-04-19,Queen St,Auckland,Grocery,12,683.4
S86,2025-04-09,George St,Otago,Apparel,4,890.26
S87,2025-06-22,Hamilton Central,Waikato,Beauty,11,2746.18
S88,2025-01-07,Queen St,Auckland,Home,1,131.29
S89,2025-05-01,Lambton,Wellington,Apparel,2,349.08
S90,2025-01-07,Queen St,Auckland,Apparel,5,1396.99
S91,2025-11-23,Lambton,Wellington,Apparel,12,253.35
S92,2025-08-08,Hamilton Central,Waikato,Beauty,2,236.63
S93,2025-10-18,Lambton,Wellington,Electronics,9,339.13
S94,2025-06-16,George St,Otago,Beauty,7,959.1
S95,2025-09-26,Riccarton,Canterbury,Home,11,562.3
S96,2025-03-19,Queen St,Auckland,Home,10,2865.57
S97,2025-04-21,Queen St,Auckland,Apparel,6,613.43
S98,2025-04-08,George St,Otago,Beauty,3,80.49
S99,2025-09-18,Hamilton Central,Waikato,Apparel,2,582.38
S100,2025-08-17,Hamilton Central,Waikato,Grocery,10,1683.88
S101,2025-08-16,Queen St,Auckland,Home,7,242.24
S102,2025-04-25,Queen St,Auckland,Home,3,820.9
S103,2025-12-02,Lambton,Wellington,Apparel,7,705.82
S104,2025-04-25,Hamilton Central,Waikato,Grocery,12,1292.65
S105,2025-07-11,Riccarton,Canterbury,Beauty,7,241.14
S106,2025-12-13,Lambton,Wellington,Electronics,6,1587.68
S107,2025-08-26,Hamilton Central,Waikato,Electronics,10,573.98
S108,2025-06-07,Riccarton,Canterbury,Grocery,9,262.18
S109,2025-05-16,Hamilton Central,Waikato,Electronics,11,2413.87
S110,2025-07-20,Hamilton Central,Waikato,Grocery,6,817.71
S111,2025-11-14,Queen St,Auckland,Home,8,291.41
S112,2025-03-05,Riccarton,Canterbury,Beauty,10,2460.15
S113,2025-04-27,Queen St,Auckland,Apparel,6,1608.32
S114,2025-12-12,Riccarton,Canterbury,Beauty,2,110.18
S115,2025-01-24,Hamilton Central,Waikato,Apparel,3,683.23
S116,2025-06-24,Queen St,Auckland,Home,10,1147.01
S117,2025-07-13,George St,Otago,Grocery,5,496.03
S118,2025-05-18,Lambton,Wellington,Beauty,4,1081.51
S119,2025-12-21,Riccarton,Canterbury,Home,11,1659.54
S120,2025-08-09,George St,Otago,Grocery,2,526.64
S121,2025-12-17,Queen St,Auckland,Grocery,10,1928.78
S122,2025-02-23,George St,Otago,Home,2,365.28
S123,2025-09-26,George St,Otago,Grocery,12,2690.96
S124,2025-06-15,Queen St,Auckland,Grocery,3,370.83
S125,2025-06-12,Riccarton,Canterbury,Grocery,8,629.04
S126,2025-09-23,Lambton,Wellington,Apparel,12,1320.81
S127,2025-12-16,Lambton,Wellington,Electronics,10,1427.9
S128,2025-07-19,George St,Otago,Apparel,10,159.86
S129,2025-12-20,Queen St,Auckland,Apparel,5,363.03
S130,2025-07-04,Queen St,Auckland,Home,11,1894.09
S131,2025-03-01,Lambton,Wellington,Apparel,11,2159.54
S132,2025-08-18,Queen St,Auckland,Apparel,4,264.7
S133,2025-10-11,George St,Otago,Apparel,9,1538.61
S134,2025-08-07,Hamilton Central,Waikato,Beauty,1,195.67
S135,2025-04-23,Lambton,Wellington,Electronics,2,260.31
S136,2025-04-02,Lambton,Wellington,Electronics,9,541.23
S137,2025-11-22,Queen St,Auckland,Electronics,3,712.41
S138,2025-11-25,Queen St,Auckland,Apparel,7,641.86
S139,2025-05-13,George St,Otago,Grocery,12,3495.05
S140,2025-04-16,Lambton,Wellington,Electronics,3,461.8
S141,2025-09-01,Riccarton,Canterbury,Beauty,5,410.86
S142,2025-04-13,Lambton,Wellington,Apparel,4,268.79
S143,2025-03-02,Riccarton,Canterbury,Apparel,5,261.0
S144,2025-10-01,Lambton,Wellington,Beauty,9,263.38
S145,2025-10-15,Riccarton,Canterbury,Grocery,4,1102.22
S146,2025-10-27,Riccarton,Canterbury,Beauty,12,2902.86
S147,2025-10-01,Hamilton Central,Waikato,Grocery,2,383.4
S148,2025-03-09,Hamilton Central,Waikato,Beauty,7,1287.11
S149,2025-06-17,George St,Otago,Beauty,2,529.5
S150,2025-10-28,Lambton,Wellington,Beauty,12,1247.99
S151,2025-01-18,Lambton,Wellington,Home,7,1303.76
S152,2025-10-21,Queen St,Auckland,Home,4,199.28
S153,2025-05-25,Hamilton Central,Waikato,Electronics,3,456.99
S154,2025-10-14,George St,Otago,Beauty,7,894.54
S155,2025-10-03,George St,Otago,Electronics,9,2559.18
S156,2025-07-17,George St,Otago,Grocery,3,184.87
S157,2025-09-14,Queen St,Auckland,Apparel,2,285.39
S158,2025-04-20,Queen St,Auckland,Grocery,6,1548.82
S159,2025-05-05,Lambton,Wellington,Grocery,8,2086.66
S160,2025-12-09,George St,Otago,Grocery,5,268.6
S161,2025-02-28,Lambton,Wellington,Apparel,10,1150.96
S162,2025-02-20,Lambton,Wellington,Electronics,8,1366.0
S163,2025-12-28,Queen St,Auckland,Beauty,2,144.73
S164,2025-04-11,Queen St,Auckland,Grocery,5,1232.99
S165,2025-03-25,George St,Otago,Home,2,91.85
S166,2025-02-13,Lambton,Wellington,Electronics,4,233.49
S167,2025-12-15,Queen St,Auckland,Apparel,12,1490.41
S168,2025-11-18,Lambton,Wellington,Beauty,5,294.04
S169,2025-05-20,Queen St,Auckland,Home,11,1810.96
S170,2025-05-12,Queen St,Auckland,Electronics,2,569.7
S171,2025-02-03,George St,Otago,Electronics,4,507.81
S172,2025-02-11,Hamilton Central,Waikato,Home,4,551.15
S173,2025-02-07,George St,Otago,Electronics,8,1555.23
S174,2025-08-03,Riccarton,Canterbury,Apparel,6,1319.32
S175,2025-10-11,Queen St,Auckland,Beauty,9,716.8
S176,2025-07-07,Riccarton,Canterbury,Beauty,12,2070.62
S177,2025-06-26,Riccarton,Canterbury,Home,11,2614.16
S178,2025-09-23,George St,Otago,Electronics,4,166.6
S179,2025-10-21,Hamilton Central,Waikato,Grocery,10,914.41
S180,2025-01-08,Riccarton,Canterbury,Home,10,2590.18
S181,2025-09-25,George St,Otago,Electronics,1,275.32
S182,2025-09-07,George St,Otago,Grocery,7,771.32
S183,2025-08-19,Lambton,Wellington,Beauty,1,63.93
S184,2025-01-21,Riccarton,Canterbury,Home,1,84.27
S185,2025-11-09,George St,Otago,Apparel,5,740.98
S186,2025-07-22,Riccarton,Canterbury,Grocery,8,538.85
S187,2025-02-15,Lambton,Wellington,Home,4,334.81
S188,2025-07-14,George St,Otago,Grocery,5,1019.48
S189,2025-05-27,George St,Otago,Electronics,10,1887.47
S190,2025-12-26,Lambton,Wellington,Electronics,6,584.84
S191,2025-12-10,Hamilton Central,Waikato,Grocery,12,761.42
S192,2025-11-23,George St,Otago,Home,8,1599.94
S193,2025-05-15,Riccarton,Canterbury,Home,2,478.94
S194,2025-07-21,Hamilton Central,Waikato,Electronics,7,735.87
S195,2025-04-08,George St,Otago,Beauty,8,992.57
S196,2025-04-08,Hamilton Central,Waikato,Beauty,7,1401.66
S197,2025-02-02,George St,Otago,Beauty,2,571.06
S198,2025-12-13,George St,Otago,Home,3,521.21
S199,2025-02-24,George St,Otago,Electronics,6,758.08
S200,2025-05-13,Riccarton,Canterbury,Beauty,10,2831.4
S201,2025-05-08,Queen St,Auckland,Apparel,1,13.76
S202,2025-01-23,Riccarton,Canterbury,Beauty,10,2353.15
S203,2025-04-14,Hamilton Central,Waikato,Electronics,7,70.56
S204,2025-03-18,Hamilton Central,Waikato,Beauty,4,476.2
S205,2025-12-15,George St,Otago,Home,1,112.38
S206,2025-01-17,Queen St,Auckland,Grocery,11,3183.82
S207,2025-05-21,Hamilton Central,Waikato,Grocery,12,2739.18
S208,2025-02-14,Riccarton,Canterbury,Home,6,112.11
S209,2025-04-13,Hamilton Central,Waikato,Beauty,10,933.11
S210,2025-11-04,George St,Otago,Apparel,3,898.24
S211,2025-12-09,Riccarton,Canterbury,Electronics,4,966.9
S212,2025-04-18,Hamilton Central,Waikato,Electronics,6,548.78
S213,2025-11-22,Hamilton Central,Waikato,Grocery,10,2413.06
S214,2025-11-12,Lambton,Wellington,Home,12,1857.07
S215,2025-08-27,Lambton,Wellington,Home,1,63.42
S216,2025-07-27,Queen St,Auckland,Electronics,10,1854.57
S217,2025-02-24,Queen St,Auckland,Electronics,1,127.55
S218,2025-05-26,Hamilton Central,Waikato,Grocery,9,488.25
S219,2025-09-22,Hamilton Central,Waikato,Grocery,7,126.83
S220,2025-12-18,Hamilton Central,Waikato,Electronics,3,481.26
S221,2025-01-14,Hamilton Central,Waikato,Apparel,5,1416.43
S222,2025-01-19,Lambton,Wellington,Electronics,12,907.77
S223,2025-08-13,Lambton,Wellington,Apparel,3,230.51
S224,2025-12-02,Hamilton Central,Waikato,Grocery,11,251.4
S225,2025-08-27,Lambton,Wellington,Apparel,7,1730.31
S226,2025-02-06,Riccarton,Canterbury,Beauty,10,1977.69
S227,2025-05-27,Queen St,Auckland,Apparel,12,3435.03
S228,2025-02-08,George St,Otago,Electronics,6,964.94
S229,2025-02-03,George St,Otago,Home,2,272.73
S230,2025-08-20,George St,Otago,Home,7,377.84
S231,2025-08-18,Riccarton,Canterbury,Apparel,10,253.46
S232,2025-08-13,Riccarton,Canterbury,Beauty,10,288.32
S233,2025-11-02,Riccarton,Canterbury,Grocery,8,1952.97
S234,2025-06-01,Hamilton Central,Waikato,Home,4,142.49
S235,2025-06-13,Queen St,Auckland,Grocery,2,139.57
S236,2025-10-23,Riccarton,Canterbury,Home,9,2441.63
S237,2025-05-16,George St,Otago,Electronics,8,88.9
S238,2025-11-04,Queen St,Auckland,Beauty,12,2540.28
S239,2025-08-27,Hamilton Central,Waikato,Apparel,10,2221.89
S240,2025-11-14,George St,Otago,Electronics,10,670.81
S241,2025-01-18,George St,Otago,Beauty,8,1099.73
S242,2025-01-06,Lambton,Wellington,Grocery,12,268.39
S243,2025-07-23,Lambton,Wellington,Home,7,1428.64
S244,2025-09-12,Lambton,Wellington,Grocery,2,382.23
S245,2025-10-08,George St,Otago,Home,3,773.04
S246,2025-04-10,George St,Otago,Electronics,5,742.76
S247,2025-10-24,Queen St,Auckland,Electronics,1,150.57
S248,2025-11-11,Lambton,Wellington,Beauty,3,180.82
S249,2025-11-01,Hamilton Central,Waikato,Apparel,1,216.59
S250,2025-09-25,Riccarton,Canterbury,Apparel,6,909.78
S251,2025-08-03,Queen St,Auckland,Beauty,8,1244.4
S252,2025-05-03,Lambton,Wellington,Electronics,10,2729.95
S253,2025-03-24,Queen St,Auckland,Grocery,9,2175.1
S254,2025-02-26,Riccarton,Canterbury,Beauty,5,1464.79
S255,2025-09-11,George St,Otago,Apparel,5,668.73
S256,2025-11-27,George St,Otago,Beauty,3,181.89
S257,2025-08-24,Riccarton,Canterbury,Beauty,1,172.34
S258,2025-10-02,Queen St,Auckland,Beauty,2,400.29
S259,2025-01-12,Hamilton Central,Waikato,Grocery,7,324.72
S260,2025-06-13,Queen St,Auckland,Apparel,2,191.88
S261,2025-11-02,Lambton,Wellington,Grocery,12,2544.09
S262,2025-02-05,Hamilton Central,Waikato,Home,5,977.55
S263,2025-12-01,Hamilton Central,Waikato,Apparel,5,1258.59
S264,2025-10-17,George St,Otago,Beauty,12,1599.45
S265,2025-03-23,Hamilton Central,Waikato,Apparel,4,1109.42
S266,2025-03-27,Hamilton Central,Waikato,Grocery,10,1500.37
S267,2025-12-06,Hamilton Central,Waikato,Grocery,3,472.75
S268,2025-09-14,Hamilton Central,Waikato,Apparel,4,565.18
S269,2025-09-26,Queen St,Auckland,Electronics,8,853.6
S270,2025-09-05,George St,Otago,Grocery,8,1762.08
S271,2025-05-25,Hamilton Central,Waikato,Apparel,11,2184.38
S272,2025-03-28,Hamilton Central,Waikato,Grocery,2,284.54
S273,2025-11-12,Hamilton Central,Waikato,Apparel,5,809.59
S274,2025-11-09,Lambton,Wellington,Grocery,8,1395.91
S275,2025-07-08,Riccarton,Canterbury,Grocery,12,336.93
S276,2025-12-14,Lambton,Wellington,Apparel,5,546.69
S277,2025-06-11,George St,Otago,Apparel,8,211.9
S278,2025-04-03,Riccarton,Canterbury,Electronics,11,386.79
S279,2025-09-24,Lambton,Wellington,Apparel,1,33.3
S280,2025-03-12,Lambton,Wellington,Home,1,283.82
S281,2025-03-01,George St,Otago,Grocery,12,2053.14
S282,2025-10-11,Hamilton Central,Waikato,Beauty,1,264.7
S283,2025-12-02,Riccarton,Canterbury,Beauty,8,654.15
S284,2025-01-14,Lambton,Wellington,Home,9,1033.77
S285,2025-02-24,Queen St,Auckland,Beauty,4,810.95
S286,2025-02-06,Queen St,Auckland,Home,12,798.55
S287,2025-10-08,Riccarton,Canterbury,Beauty,5,860.62
S288,2025-07-16,Hamilton Central,Waikato,Apparel,4,402.83
S289,2025-01-20,Lambton,Wellington,Grocery,12,2784.66
S290,2025-04-13,Riccarton,Canterbury,Beauty,10,2806.84
S291,2025-11-14,Riccarton,Canterbury,Electronics,8,1952.54
S292,2025-04-12,George St,Otago,Grocery,2,541.47
S293,2025-06-28,George St,Otago,Grocery,11,2206.69
S294,2025-10-22,Hamilton Central,Waikato,Beauty,3,864.42
S295,2025-08-08,George St,Otago,Grocery,2,518.65
S296,2025-03-16,Queen St,Auckland,Beauty,2,250.1
S297,2025-06-11,Riccarton,Canterbury,Home,5,1011.23
S298,2025-09-09,Riccarton,Canterbury,Electronics,10,2515.21
S299,2025-05-27,Riccarton,Canterbury,Home,1,13.3
S300,2025-02-02,Hamilton Central,Waikato,Beauty,5,574.33
S301,2025-05-03,Riccarton,Canterbury,Grocery,11,1109.56
S302,2025-06-13,Hamilton Central,Waikato,Grocery,2,375.77
S303,2025-02-28,Lambton,Wellington,Home,3,662.36
S304,2025-12-24,Lambton,Wellington,Apparel,2,185.85
S305,2025-09-12,Hamilton Central,Waikato,Electronics,5,623.06
S306,2025-02-28,Lambton,Wellington,Apparel,7,516.4
S307,2025-05-01,George St,Otago,Grocery,3,719.63
S308,2025-03-28,Hamilton Central,Waikato,Home,3,515.54
S309,2025-01-12,Lambton,Wellington,Beauty,7,1211.48
S310,2025-06-20,George St,Otago,Electronics,9,1445.11
S311,2025-09-10,Hamilton Central,Waikato,Electronics,10,1265.9
S312,2025-05-11,Hamilton Central,Waikato,Electronics,2,23.22
S313,2025-06-18,Queen St,Auckland,Electronics,4,977.58
S314,2025-04-16,George St,Otago,Electronics,8,848.79
S315,2025-04-10,Lambton,Wellington,Beauty,4,392.45
S316,2025-08-24,Lambton,Wellington,Beauty,10,1372.43
S317,2025-07-25,Lambton,Wellington,Grocery,8,289.56
S318,2025-07-09,Riccarton,Canterbury,Apparel,8,2078.23
S319,2025-01-04,Queen St,Auckland,Home,6,535.71
S320,2025-06-28,Queen St,Auckland,Electronics,10,1167.85
S321,2025-03-20,Hamilton Central,Waikato,Grocery,4,915.07
S322,2025-08-06,Queen St,Auckland,Grocery,11,187.23
S323,2025-09-15,George St,Otago,Home,5,1389.42
S324,2025-12-14,Riccarton,Canterbury,Electronics,5,69.85
S325,2025-04-14,Hamilton Central,Waikato,Beauty,5,320.32
S326,2025-03-23,George St,Otago,Electronics,8,1255.76
S327,2025-09-23,Hamilton Central,Waikato,Grocery,6,1371.88
S328,2025-10-26,Riccarton,Canterbury,Grocery,9,845.43
S329,2025-03-10,George St,Otago,Beauty,3,368.48
S330,2025-06-13,Hamilton Central,Waikato,Apparel,12,2520.0
S331,2025-10-11,Riccarton,Canterbury,Electronics,12,1571.18
S332,2025-03-19,Riccarton,Canterbury,Home,9,2698.55
S333,2025-05-15,Queen St,Auckland,Apparel,2,181.9
S334,2025-02-13,George St,Otago,Beauty,4,896.58
S335,2025-11-25,Lambton,Wellington,Apparel,12,2374.41
S336,2025-05-27,George St,Otago,Apparel,5,560.86
S337,2025-08-13,George St,Otago,Beauty,6,679.22
S338,2025-10-14,Riccarton,Canterbury,Beauty,4,552.03
S339,2025-07-28,Hamilton Central,Waikato,Apparel,2,44.86
S340,2025-01-16,Hamilton Central,Waikato,Beauty,3,156.89
S341,2025-11-10,George St,Otago,Beauty,2,432.31
S342,2025-09-11,George St,Otago,Beauty,4,702.64
S343,2025-05-01,Queen St,Auckland,Electronics,6,884.29
S344,2025-09-15,Riccarton,Canterbury,Grocery,10,2788.98
S345,2025-05-28,Lambton,Wellington,Grocery,9,587.62
S346,2025-12-20,Lambton,Wellington,Electronics,1,295.72
S347,2025-09-12,George St,Otago,Apparel,5,697.23
S348,2025-03-16,Queen St,Auckland,Electronics,11,1125.12
S349,2025-12-23,George St,Otago,Apparel,6,472.72
S350,2025-12-11,Queen St,Auckland,Grocery,6,986.31
S351,2025-11-20,George St,Otago,Home,8,2289.37
S352,2025-02-13,Riccarton,Canterbury,Beauty,9,1418.16
S353,2025-11-23,Hamilton Central,Waikato,Beauty,12,2645.56
S354,2025-10-05,George St,Otago,Apparel,1,262.07
S355,2025-08-16,George St,Otago,Grocery,8,1969.15
S356,2025-09-08,Queen St,Auckland,Apparel,10,1930.89
S357,2025-12-04,George St,Otago,Home,1,155.58
S358,2025-07-08,Queen St,Auckland,Apparel,11,2683.66
S359,2025-02-02,Lambton,Wellington,Grocery,11,3148.21
S360,2025-08-13,Hamilton Central,Waikato,Apparel,6,1174.09
S361,2025-12-03,Queen St,Auckland,Home,9,385.19
S362,2025-10-19,Riccarton,Canterbury,Grocery,6,1459.54
S363,2025-01-25,George St,Otago,Grocery,12,2285.81
S364,2025-01-25,George St,Otago,Apparel,1,42.88
S365,2025-08-05,Queen St,Auckland,Home,12,555.1
S366,2025-09-13,Lambton,Wellington,Apparel,11,3256.22
S367,2025-02-27,George St,Otago,Apparel,1,30.31
S368,2025-05-17,Hamilton Central,Waikato,Beauty,3,201.8
S369,2025-07-28,Riccarton,Canterbury,Electronics,4,602.63
S370,2025-06-15,Queen St,Auckland,Grocery,8,496.34
S371,2025-09-13,George St,Otago,Beauty,5,1269.69
S372,2025-01-28,Lambton,Wellington,Electronics,5,1349.33
S373,2025-06-24,Lambton,Wellington,Grocery,12,2128.31
S374,2025-11-07,Hamilton Central,Waikato,Beauty,5,547.72
S375,2025-08-05,Hamilton Central,Waikato,Grocery,3,383.94
S376,2025-02-20,George St,Otago,Grocery,5,192.94
S377,2025-08-15,Lambton,Wellington,Grocery,5,1354.6
S378,2025-10-05,Riccarton,Canterbury,Home,11,3291.61
S379,2025-11-24,Hamilton Central,Waikato,Grocery,3,792.94
S380,2025-01-05,Hamilton Central,Waikato,Home,7,1766.8
S381,2025-11-12,Queen St,Auckland,Grocery,7,2063.63
S382,2025-04-22,Lambton,Wellington,Electronics,5,197.15
S383,2025-02-08,Riccarton,Canterbury,Apparel,11,2384.18
S384,2025-04-13,Riccarton,Canterbury,Home,8,1154.54
S385,2025-02-14,George St,Otago,Electronics,6,1138.8
S386,2025-08-13,George St,Otago,Apparel,4,493.47
S387,2025-12-25,George St,Otago,Apparel,2,85.95
S388,2025-10-27,Lambton,Wellington,Home,2,148.24
S389,2025-11-09,Lambton,Wellington,Grocery,4,271.23
S390,2025-05-28,George St,Otago,Apparel,4,492.34
S391,2025-02-17,Lambton,Wellington,Grocery,11,277.6
S392,2025-12-07,Riccarton,Canterbury,Home,7,1201.08
S393,2025-11-14,Hamilton Central,Waikato,Electronics,12,323.17
S394,2025-09-02,Lambton,Wellington,Apparel,8,1396.51
S395,2025-05-04,George St,Otago,Grocery,7,852.64
S396,2025-03-19,Queen St,Auckland,Home,10,1535.08
S397,2025-10-02,Riccarton,Canterbury,Beauty,4,551.78
S398,2025-05-02,Riccarton,Canterbury,Home,11,1489.47
S399,2025-08-01,Queen St,Auckland,Electronics,7,1350.06
S400,2025-08-24,George St,Otago,Grocery,2,495.95
S401,2025-10-10,Queen St,Auckland,Beauty,5,699.2
S402,2025-07-02,Queen St,Auckland,Beauty,6,154.81
S403,2025-05-07,Hamilton Central,Waikato,Beauty,4,62.91
S404,2025-04-02,Queen St,Auckland,Apparel,12,720.17
S405,2025-12-26,Riccarton,Canterbury,Electronics,9,1883.66
S406,2025-06-11,George St,Otago,Grocery,5,740.55
S407,2025-06-16,Lambton,Wellington,Grocery,9,1237.68
S408,2025-05-04,Queen St,Auckland,Beauty,7,394.98
S409,2025-03-13,George St,Otago,Beauty,3,229.24
S410,2025-03-26,George St,Otago,Electronics,6,916.91
S411,2025-12-04,George St,Otago,Electronics,11,3215.96
S412,2025-02-17,Riccarton,Canterbury,Apparel,10,652.35
S413,2025-08-26,Riccarton,Canterbury,Beauty,12,1727.06
S414,2025-12-15,Queen St,Auckland,Home,4,196.35
S415,2025-05-01,George St,Otago,Electronics,11,1945.38
S416,2025-11-26,Lambton,Wellington,Grocery,12,2380.68
S417,2025-07-14,Lambton,Wellington,Home,7,1406.07
S418,2025-01-09,Riccarton,Canterbury,Electronics,8,1215.21
S419,2025-06-28,Hamilton Central,Waikato,Grocery,12,3107.73
S420,2025-08-12,Queen St,Auckland,Home,2,564.32
S421,2025-04-14,Queen St,Auckland,Apparel,6,990.26
S422,2025-05-04,Riccarton,Canterbury,Home,2,453.13
S423,2025-06-24,Queen St,Auckland,Apparel,8,1280.83
S424,2025-11-24,Lambton,Wellington,Home,10,582.33
S425,2025-11-02,Riccarton,Canterbury,Beauty,3,369.21
S426,2025-02-11,Riccarton,Canterbury,Grocery,3,706.28
S427,2025-11-13,Hamilton Central,Waikato,Grocery,1,291.23
S428,2025-09-27,Lambton,Wellington,Grocery,1,45.24
S429,2025-04-10,Hamilton Central,Waikato,Grocery,3,429.12
S430,2025-11-20,George St,Otago,Beauty,12,1452.71
S431,2025-11-03,Queen St,Auckland,Grocery,9,821.35
S432,2025-04-07,George St,Otago,Electronics,9,434.01
S433,2025-07-13,Hamilton Central,Waikato,Grocery,2,243.57
S434,2025-07-21,Lambton,Wellington,Electronics,10,2457.46
S435,2025-12-14,Riccarton,Canterbury,Apparel,10,2023.51
S436,2025-01-21,Queen St,Auckland,Apparel,6,153.74
S437,2025-02-13,Riccarton,Canterbury,Apparel,5,820.12
S438,2025-05-26,Lambton,Wellington,Grocery,5,860.55
S439,2025-09-26,Riccarton,Canterbury,Home,3,161.28
S440,2025-06-08,George St,Otago,Beauty,8,1132.66
S441,2025-04-09,Hamilton Central,Waikato,Apparel,10,600.62
S442,2025-04-24,Hamilton Central,Waikato,Electronics,2,349.51
S443,2025-11-27,Queen St,Auckland,Beauty,6,1560.63
S444,2025-02-14,George St,Otago,Apparel,1,143.73
